frequency_hz,controller,L_real,L_imag
0.037374,standard_pd,-3.176601e+00,-2.493214e+00
0.037374,filtered_pd,-3.195237e+00,-2.493074e+00
0.037374,avc,-3.216092e+00,-2.491113e+00
0.037720,standard_pd,-3.118468e+00,-2.470258e+00
0.037720,filtered_pd,-3.137103e+00,-2.470117e+00
0.037720,avc,-3.157406e+00,-2.468176e+00
0.038070,standard_pd,-3.061397e+00,-2.447512e+00
0.038070,filtered_pd,-3.080032e+00,-2.447370e+00
0.038070,avc,-3.099793e+00,-2.445448e+00
0.038422,standard_pd,-3.005369e+00,-2.424974e+00
0.038422,filtered_pd,-3.024003e+00,-2.424831e+00
0.038422,avc,-3.043232e+00,-2.422928e+00
0.038778,standard_pd,-2.950365e+00,-2.402642e+00
0.038778,filtered_pd,-2.968997e+00,-2.402498e+00
0.038778,avc,-2.987705e+00,-2.400614e+00
0.039137,standard_pd,-2.896365e+00,-2.380514e+00
0.039137,filtered_pd,-2.914997e+00,-2.380369e+00
0.039137,avc,-2.933192e+00,-2.378504e+00
0.039500,standard_pd,-2.843352e+00,-2.358589e+00
0.039500,filtered_pd,-2.861983e+00,-2.358442e+00
0.039500,avc,-2.879675e+00,-2.356596e+00
0.039866,standard_pd,-2.791307e+00,-2.336864e+00
0.039866,filtered_pd,-2.809938e+00,-2.336716e+00
0.039866,avc,-2.827135e+00,-2.334889e+00
0.040235,standard_pd,-2.740213e+00,-2.315338e+00
0.040235,filtered_pd,-2.758844e+00,-2.315188e+00
0.040235,avc,-2.775556e+00,-2.313380e+00
0.040608,standard_pd,-2.690053e+00,-2.294008e+00
0.040608,filtered_pd,-2.708683e+00,-2.293857e+00
0.040608,avc,-2.724919e+00,-2.292067e+00
0.040984,standard_pd,-2.640809e+00,-2.272874e+00
0.040984,filtered_pd,-2.659438e+00,-2.272721e+00
0.040984,avc,-2.675207e+00,-2.270950e+00
0.041363,standard_pd,-2.592465e+00,-2.251932e+00
0.041363,filtered_pd,-2.611093e+00,-2.251778e+00
0.041363,avc,-2.626403e+00,-2.250025e+00
0.041747,standard_pd,-2.545004e+00,-2.231182e+00
0.041747,filtered_pd,-2.563631e+00,-2.231027e+00
0.041747,avc,-2.578490e+00,-2.229291e+00
0.042133,standard_pd,-2.498410e+00,-2.210622e+00
0.042133,filtered_pd,-2.517036e+00,-2.210465e+00
0.042133,avc,-2.531453e+00,-2.208747e+00
0.042523,standard_pd,-2.452667e+00,-2.190250e+00
0.042523,filtered_pd,-2.471293e+00,-2.190091e+00
0.042523,avc,-2.485276e+00,-2.188391e+00
0.042917,standard_pd,-2.407760e+00,-2.170063e+00
0.042917,filtered_pd,-2.426385e+00,-2.169904e+00
0.042917,avc,-2.439942e+00,-2.168221e+00
0.043315,standard_pd,-2.363673e+00,-2.150061e+00
0.043315,filtered_pd,-2.382297e+00,-2.149900e+00
0.043315,avc,-2.395436e+00,-2.148235e+00
0.043716,standard_pd,-2.320392e+00,-2.130242e+00
0.043716,filtered_pd,-2.339015e+00,-2.130079e+00
0.043716,avc,-2.351743e+00,-2.128431e+00
0.044121,standard_pd,-2.277901e+00,-2.110604e+00
0.044121,filtered_pd,-2.296524e+00,-2.110440e+00
0.044121,avc,-2.308848e+00,-2.108809e+00
0.044530,standard_pd,-2.236187e+00,-2.091145e+00
0.044530,filtered_pd,-2.254809e+00,-2.090980e+00
0.044530,avc,-2.266737e+00,-2.089365e+00
0.044942,standard_pd,-2.195234e+00,-2.071864e+00
