frequency_hz,controller,L_real,L_imag
0.076716,filtered_pd,-5.323349e+00,-6.806728e+00
0.077426,standard_pd,-5.161713e+00,-4.496328e+00
0.077426,filtered_pd,-5.226922e+00,-6.743796e+00
0.078144,standard_pd,-5.067054e+00,-4.454760e+00
0.078144,filtered_pd,-5.132257e+00,-6.681436e+00
0.078867,standard_pd,-4.974123e+00,-4.413569e+00
0.078867,filtered_pd,-5.039320e+00,-6.619644e+00
0.079598,standard_pd,-4.882889e+00,-4.372754e+00
0.079598,filtered_pd,-4.948081e+00,-6.558414e+00
0.080335,standard_pd,-4.793322e+00,-4.332309e+00
0.080335,filtered_pd,-4.858507e+00,-6.497741e+00
0.081079,standard_pd,-4.705391e+00,-4.292233e+00
0.081079,filtered_pd,-4.770570e+00,-6.437620e+00
0.081830,standard_pd,-4.619066e+00,-4.252521e+00
0.081830,filtered_pd,-4.684238e+00,-6.378045e+00
0.082588,standard_pd,-4.534317e+00,-4.213170e+00
0.082588,filtered_pd,-4.599483e+00,-6.319012e+00
0.083353,standard_pd,-4.451116e+00,-4.174177e+00
0.083353,filtered_pd,-4.516276e+00,-6.260515e+00
0.084125,standard_pd,-4.369435e+00,-4.135538e+00
0.084125,filtered_pd,-4.434587e+00,-6.202550e+00
0.084904,standard_pd,-4.289245e+00,-4.097250e+00
0.084904,filtered_pd,-4.354391e+00,-6.145111e+00
0.085691,standard_pd,-4.210520e+00,-4.059310e+00
0.085691,filtered_pd,-4.275659e+00,-6.088194e+00
0.086484,standard_pd,-4.133233e+00,-4.021715e+00
0.086484,filtered_pd,-4.198364e+00,-6.031794e+00
