frequency_hz,controller,S_mag_db,T_mag_db
0.121642,filtered_pd,-12.9049,0.6760
0.122769,standard_pd,-9.5571,1.2750
0.122769,filtered_pd,-12.8090,0.6750
0.123906,standard_pd,-9.4474,1.2755
0.123906,filtered_pd,-12.7135,0.6739
0.125054,standard_pd,-9.3384,1.2757
0.125054,filtered_pd,-12.6183,0.6726
0.126212,standard_pd,-9.2300,1.2756
0.126212,filtered_pd,-12.5234,0.6713
0.127381,standard_pd,-9.1222,1.2751
0.127381,filtered_pd,-12.4289,0.6698
0.128561,standard_pd,-9.0151,1.2742
0.128561,filtered_pd,-12.3346,0.6682
0.129752,standard_pd,-8.9086,1.2730
0.129752,filtered_pd,-12.2406,0.6665
0.130954,standard_pd,-8.8028,1.2714
0.130954,filtered_pd,-12.1469,0.6646
0.132166,standard_pd,-8.6977,1.2695
0.132166,filtered_pd,-12.0535,0.6626
0.133391,standard_pd,-8.5931,1.2671
0.133391,filtered_pd,-11.9604,0.6605
0.134626,standard_pd,-8.4893,1.2644
0.134626,filtered_pd,-11.8676,0.6582
0.135873,standard_pd,-8.3861,1.2612
0.135873,filtered_pd,-11.7751,0.6558
0.137131,standard_pd,-8.2836,1.2577
0.137131,filtered_pd,-11.6829,0.6532
0.138402,standard_pd,-8.1818,1.2537
0.138402,filtered_pd,-11.5909,0.6505
0.139684,standard_pd,-8.0806,1.2493
0.139684,filtered_pd,-11.4993,0.6477
0.140977,standard_pd,-7.9801,1.2445
0.140977,filtered_pd,-11.4079,0.6447
0.142283,standard_pd,-7.8803,1.2393
0.142283,filtered_pd,-11.3168,0.6416
0.143601,standard_pd,-7.7812,1.2336
0.143601,filtered_pd,-11.2260,0.6383
0.144931,standard_pd,-7.6827,1.2275
0.144931,filtered_pd,-11.1355,0.6349
0.146273,standard_pd,-7.5850,1.2209
0.146273,filtered_pd,-11.0452,0.6313
0.147628,standard_pd,-7.4879,1.2139
0.147628,filtered_pd,-10.9552,0.6276
0.148996,standard_pd,-7.3915,1.2064
0.148996,filtered_pd,-10.8655,0.6237
0.150376,standard_pd,-7.2958,1.1985
0.150376,filtered_pd,-10.7760,0.6196
0.151768,standard_pd,-7.2009,1.1900
0.151768,filtered_pd,-10.6868,0.6154
0.153174,standard_pd,-7.1066,1.1811
0.153174,filtered_pd,-10.5979,0.6110
0.154593,standard_pd,-7.0130,1.1717
0.154593,filtered_pd,-10.5092,0.6065
0.156025,standard_pd,-6.9201,1.1618
0.156025,filtered_pd,-10.4208,0.6018
0.157470,standard_pd,-6.8279,1.1514
0.157470,filtered_pd,-10.3327,0.5969
0.158928,standard_pd,-6.7364,1.1405
0.158928,filtered_pd,-10.2448,0.5919
0.160400,standard_pd,-6.6456,1.1291
0.160400,filtered_pd,-10.1572,0.5866
0.161886,standard_pd,-6.5555,1.1172
0.161886,filtered_pd,-10.0698,0.5812
0.163385,standard_pd,-6.4661,1.1047
0.163385,filtered_pd,-9.9826,0.5757
0.164899,standard_pd,-6.3775,1.0917
0.164899,filtered_pd,-9.8958,0.5699
0.166426,standard_pd,-6.2895,1.0782
0.166426,filtered_pd,-9.8091,0.5640
0.167967,standard_pd,-6.2022,1.0642
0.167967,filtered_pd,-9.7227,0.5578
0.169523,standard_pd,-6.1157,1.0496
